gene	Median	class	Mean	stdev	Predicted_0.4
AT4G04610	0.390142791	SM_holdout	0.390314458	0.087741544	GM
AT3G54660	0.310116195	SM_holdout	0.320408653	0.098158583	GM
AT3G19450	0.394688806	SM_holdout	0.392345981	0.076275706	GM
AT1G65840	0.373047389	SM_holdout	0.388134403	0.072555861	GM
AT2G15490	0.982003772	SM_holdout	0.966365409	0.040197354	SM
AT1G54870	0.712062988	SM_holdout	0.712614662	0.100025663	SM
AT1G13100	0.964686902	SM_holdout	0.952061089	0.04128572	SM
AT3G16340	0.736766126	SM_holdout	0.730722876	0.094787148	SM
AT3G61880	0.864293438	SM_holdout	0.863137768	0.063460861	SM
AT5G10600	0.819009096	SM_holdout	0.792040162	0.133201434	SM
AT5G17220	0.868808558	SM_holdout	0.854559959	0.062164923	SM
AT4G10490	0.932572466	SM_holdout	0.921540196	0.05342877	SM
AT1G17190	0.884178782	SM_holdout	0.882242896	0.050115316	SM
AT5G10610	0.837365854	SM_holdout	0.808659027	0.133171806	SM
AT3G12900	0.785204592	SM_holdout	0.78352571	0.090745451	SM
AT1G02920	0.874393115	SM_holdout	0.850772255	0.109566594	SM
AT1G67830	0.641619265	SM_holdout	0.642970651	0.112289947	SM
AT2G24180	0.947244148	SM_holdout	0.939733678	0.032591276	SM
AT3G60290	0.594440123	SM_holdout	0.587469633	0.112777301	SM
AT4G38540	0.546322038	SM_holdout	0.554168801	0.088847301	SM
AT3G47930	0.163835052	GM_holdout	0.172912477	0.065940626	GM
AT2G37090	0.176628865	GM_holdout	0.179019624	0.05139252	GM
AT1G08680	0.289138973	GM_holdout	0.307867323	0.088246429	GM
AT5G63310	0.157553446	GM_holdout	0.169414718	0.075436145	GM
AT3G57180	0.089981278	GM_holdout	0.095286568	0.03959652	GM
AT5G08370	0.323672598	GM_holdout	0.336965872	0.091730446	GM
AT1G04290	0.318581811	GM_holdout	0.328219493	0.09433634	GM
AT3G03300	0.082350761	GM_holdout	0.090139265	0.037699443	GM
AT5G64050	0.105232397	GM_holdout	0.11163816	0.039142442	GM
AT1G48910	0.333986191	GM_holdout	0.338774784	0.096067487	GM
AT3G22110	0.058315317	GM_holdout	0.072018273	0.049162988	GM
AT1G17980	0.116430949	GM_holdout	0.124321076	0.052339025	GM
AT2G16500	0.361157096	GM_holdout	0.358513571	0.066215328	GM
AT1G18500	0.156804103	GM_holdout	0.164085583	0.054752251	GM
AT4G15130	0.276517679	GM_holdout	0.284765416	0.066722098	GM
AT1G62830	0.171666099	GM_holdout	0.173142571	0.054036517	GM
AT3G46940	0.235683546	GM_holdout	0.24562916	0.086279005	GM
AT3G47390	0.13132025	GM_holdout	0.145647031	0.055100432	GM
AT5G10160	0.103683674	GM_holdout	0.108639257	0.048595873	GM
AT4G33010	0.139666971	GM_holdout	0.150666832	0.059343216	GM
AT3G62290	0.286823783	GM_holdout	0.312915985	0.124894622	GM
AT1G18440	0.070246837	GM_holdout	0.070787818	0.021835272	GM
AT1G47260	0.058535086	GM_holdout	0.070513762	0.043693575	GM
AT4G38040	0.316543904	GM_holdout	0.316021403	0.102165015	GM
AT2G21170	0.119128271	GM_holdout	0.124823007	0.052997232	GM
AT4G32810	0.348021614	GM_holdout	0.380909326	0.180828812	GM
AT2G19450	0.181451241	GM_holdout	0.188974206	0.054297765	GM
AT4G16210	0.157028981	GM_holdout	0.163645203	0.061661315	GM
AT4G22570	0.164405414	GM_holdout	0.173322926	0.064528241	GM
AT5G63680	0.323485344	GM_holdout	0.339798558	0.115234218	GM
AT1G77130	0.103471947	GM_holdout	0.113680297	0.047559676	GM
AT4G39980	0.316583883	GM_holdout	0.328574486	0.075169766	GM
AT1G01220	0.048848243	GM_holdout	0.053865156	0.021043534	GM
AT3G48720	0.400079323	GM_holdout	0.397698532	0.152461674	GM
AT3G14290	0.113599112	GM_holdout	0.124990967	0.059442145	GM
AT1G08520	0.105370048	GM_holdout	0.11370378	0.048559307	GM
AT1G68720	0.167324462	GM_holdout	0.176297702	0.051823337	GM
AT2G30200	0.103535402	GM_holdout	0.112100218	0.050723374	GM
AT3G15640	0.078222924	GM_holdout	0.086755962	0.046506709	GM
AT3G55360	0.088620524	GM_holdout	0.094651266	0.045804398	GM
AT1G72550	0.061734833	GM_holdout	0.069296197	0.037806855	GM
AT1G69740	0.108322136	GM_holdout	0.113803787	0.041467867	GM
AT3G08590	0.226434854	GM_holdout	0.224200644	0.046127952	GM
AT4G30340	0.124670138	GM_holdout	0.128226405	0.048624184	GM
AT5G13450	0.062768336	GM_holdout	0.071126042	0.034646536	GM
AT3G51660	0.329363493	GM_holdout	0.34267578	0.075438651	GM
AT3G54010	0.227684022	GM_holdout	0.238286189	0.091005177	GM
AT1G78580	0.153295638	GM_holdout	0.159943764	0.047518106	GM
AT1G23320	0.386822651	GM_holdout	0.389105427	0.078074415	GM
AT5G14430	0.325509635	GM_holdout	0.326180852	0.101488888	GM
AT1G45130	0.340939566	GM_holdout	0.344634355	0.089811742	GM
AT1G11840	0.201241053	GM_holdout	0.203196629	0.057554748	GM
AT1G73370	0.089306119	GM_holdout	0.09825625	0.039062337	GM
AT2G21790	0.170890205	GM_holdout	0.183899952	0.07101443	GM
AT5G64300	0.149074056	GM_holdout	0.163886335	0.074736423	GM
AT1G67350	0.179170685	GM_holdout	0.189999785	0.07189495	GM
AT5G17770	0.124558777	GM_holdout	0.126817192	0.041768992	GM
AT2G40840	0.20851187	GM_holdout	0.215349501	0.068421951	GM
AT1G05900	0.348559459	GM_holdout	0.356516757	0.093165279	GM
AT5G25880	0.173107216	GM_holdout	0.17998212	0.062925851	GM
AT4G37690	0.232844875	GM_holdout	0.265292774	0.159768365	GM
AT5G26570	0.185857877	GM_holdout	0.196923437	0.07411779	GM
AT5G14740	0.313427047	GM_holdout	0.321363921	0.0809003	GM
AT2G22570	0.176209169	GM_holdout	0.180466789	0.048641559	GM
AT2G41680	0.190376045	GM_holdout	0.202261582	0.068215248	GM
AT5G64380	0.127781401	GM_holdout	0.144884265	0.057625523	GM
AT4G34740	0.133465865	GM_holdout	0.141858669	0.042788602	GM
AT4G10100	0.174371547	GM_holdout	0.187541022	0.066468843	GM
AT4G25970	0.301820179	GM_holdout	0.298634873	0.067833732	GM
AT1G32440	0.217606796	GM_holdout	0.225283099	0.066879617	GM
AT5G43600	0.09205488	GM_holdout	0.101347977	0.040564289	GM
AT1G30600	0.327965037	GM_holdout	0.332568037	0.121483251	GM
AT5G37600	0.336716281	GM_holdout	0.345163148	0.087559234	GM
AT3G62030	0.389868042	GM_holdout	0.3889266	0.131574996	GM
AT3G24360	0.28580513	GM_holdout	0.290425457	0.07672003	GM
AT3G09840	0.337929977	GM_holdout	0.36649686	0.106647976	GM
AT5G58220	0.106247377	GM_holdout	0.112698834	0.047044323	GM
AT4G02580	0.02623079	GM_holdout	0.032846408	0.023101073	GM
AT5G59290	0.340466846	GM_holdout	0.35139823	0.105643589	GM
AT2G43400	0.113831315	GM_holdout	0.118661322	0.044396205	GM
AT4G13260	0.255369565	GM_holdout	0.270305909	0.0872724	GM
AT1G26220	0.17772771	GM_holdout	0.190332711	0.069396278	GM
AT5G13110	0.225747965	GM_holdout	0.239155253	0.070785995	GM
AT3G15850	0.150671277	GM_holdout	0.156854498	0.053730812	GM
AT5G17530	0.083673701	GM_holdout	0.089470165	0.039524436	GM
